,Fluorescent labeling,FRAGMENTS,FREQUENCY
21800,No ,cc(c)C(=O)NC(CC)CC,271
44422,Yes,FC(F)(F)c1ccccc1,270
46419,Yes,c-c1ccc(C(F)(F)F)cc1,270
46398,Yes,c-c1ccc(C#N)cc1,269
55775,Yes,ccc(N)cc,268
43867,Yes,Cc1ccc(-c)cc1,267
46845,Yes,c/C=C/c1cc[n+]cc1,267
52777,Yes,cc1c(c)C(CC)(CC)c2cc(C)ccc2-1,266
23796,No ,cc(c)S(=O)(=O)NC,266
9158,No ,COc1ccc(-c)cc1,266
789,No ,CC(C)(C)c1ccccc1,265
3826,No ,CCCCCCN,264
38768,Yes,C#Cc1ccc(c)c2c(c)cccc12,264
2314,No ,CC1CCCN(C)C1,263
58981,Yes,ccc1ccc(N)cc1o,262
44248,Yes,Cc1cccs1,262
57959,Yes,ccc1c(c)Nc(c)c(cc)S1,261
13804,No ,NCc1ccc(O)cc1,261
48050,Yes,cSc1ccccc1N,260
18200,No ,cNC(=O)CN,260
18122,No ,cNC(=O)C(C)C,259
28991,No ,ccc(OC)c(c)N,259
53606,Yes,cc1cc(C)ccc1n(c)C,258
9274,No ,COc1ccc(N)cc1,258
44254,Yes,Cc1ccncc1,257
42555,Yes,CC[n+]1ccc(C)cc1,256
50883,Yes,cc(c)CC,256
47886,Yes,cNc1ccccc1,256
34115,No ,cn(n)-c1ccc(F)cc1,255
32541,No ,ccc1c(c)OCCO1,255
43896,Yes,Cc1ccc(C(C)(C)C)cc1,255
9205,No ,COc1ccc(C)cc1O,254
41690,Yes,CC(c)=C(C#N)C#N,254
42066,Yes,CCC(C)(c)c,254
20804,No ,cc(c)-c1ccccc1,254
4867,No ,CCN1CCC(N)CC1,253
44295,Yes,Cc1coc2ccccc2c1,253
15110,No ,c-c1ccccn1,252
45019,Yes,[B-][N+](C)=C(C)C(=C)C,252
30776,No ,ccc(cc)S(=O)(=O)N(CC)CC,252
39441,Yes,C=C(c)C#N,251
2266,No ,CC1CCCC1,250
43145,Yes,COCCO,250
39519,Yes,C=C(c)c1c(C)cc(C)cc1C,250
44521,Yes,N=Cc1ccccc1O,250
38421,No ,sc1ccccc1,248
4264,No ,CCN(C)CC,248
52381,Yes,cc(s)-c1cccs1,248
53549,Yes,cc1cc(C)c2ccccc2c1,248
39385,Yes,C=C([N+])C(C)=CC,248
39380,Yes,C=C([N+])C(C)=C(C)C,247
42644,Yes,CCc1ccc(o)cc1,247
48266,Yes,c[nH]c1ccccc1c,247
27622,No ,ccc(Br)cc,247
46374,Yes,c-c1ccc(-c(n)n)cc1,247
16062,No ,cC(=O)NC1CCNCC1,247
39066,Yes,C=C(C)C1=C(c(cc)cc)c(c(c)C)n(c)[B-][N+]1=C,247
